provider_id,rating
330223,10
330134,7
330062,7
330086,5
330166,7
330068,9
330099,8
330278,8
330177,4
330195,8
330026,7
330214,6
330125,8
330203,6
330116,8
330014,9
330268,7
330181,7
330106,6
330033,8
330065,7
330254,10
330207,5
330109,7
330135,8
330230,7
330055,6
330094,9
330179,8
330058,8
330095,6
330030,7
330200,8
330243,5
330096,8
330027,7
330020,9
330022,7
330154,10
330225,8
330028,8
330227,6
330180,8
330037,6
330286,5
330259,7
330228,9
330253,7
330206,7
330005,7
330235,10
330097,8
330008,5
330042,6
330056,7
330142,6
330040,7
330143,6
330190,6
330249,7
330011,5
330162,4
330111,9
330205,9
330194,8
330178,8
330260,7
330241,10
330150,8
330066,10
330087,10
330064,8
330213,7
330273,7
330219,7
330048,8
330118,8
330229,5
330017,10
330153,6
330120,3
330176,7
330046,5
330283,7
330085,7
330077,8
330186,9
330078,6
330209,7
330119,8
330003,6
330130,4
330175,8
330076,6
330131,6
330193,7
330054,7
330242,9
330191,5
330007,10
330029,5
330045,7
330018,6
330107,7
330224,7
330121,7
330189,8
330123,9
330148,7
330137,9
330272,4
330218,4
330240,7
330163,8
330117,6
330032,7
330165,9
330126,8
330115,7
330041,8
330051,8
330092,5
330004,6
330197,9
330188,4
330113,5
330185,5
330261,9
330222,5
330082,8
330159,7
330145,10
330050,7
330079,9
330034,8
330256,6
330129,7
330080,7
330073,6
330127,9
330102,10
330280,7
330070,8
330002,8
330171,3
330251,8
330276,8
330282,5
330226,4
330152,8
330074,10
330155,7
330266,7
330244,10
330112,9
330183,5
330110,6
330105,10
330255,6
330252,6
330238,8
330144,7
330231,8
330202,8
330237,7
330136,9
330049,5
330275,7
330147,6
330044,10
330016,7
330257,10
330128,7
330246,7
330133,9
330084,6
330247,10
330170,7
330010,8
330156,8
330262,7
330208,6
330021,7
330173,4
330083,5
330098,7
330239,10
330015,10
330211,9
330201,5
330031,8
330104,6
330140,7
330063,9
330160,8
330035,9
330187,5
330071,6
330146,10
330059,10
330279,7
330221,7
330164,9
330006,8
330114,8
330161,6
330263,9
330285,7
330072,5
330184,6
330101,6
330047,10
330057,6
330039,8
330060,4
330288,9
330245,6
330157,8
330232,8
330204,8
330001,8
330169,10
330289,8
330090,10
330199,8
330196,8
330067,9
330267,8
330139,8
330061,8
330215,8
330287,10
330036,10
330100,8
330151,9
330284,9
330081,9
330043,8
330093,8
330192,8
330172,6
330258,7
330264,5
330103,8
330271,8
330234,8
330167,6
330168,9
330009,8
330220,10
330270,8
330281,6
330138,5
330069,8
330108,6
330075,6
330265,6
330158,6
330141,10
330053,6
330124,7
330212,5
330038,4
330088,7
330012,8
330210,5
330236,5
330089,4
330024,7
330269,9
330248,5
330025,6
330132,9
330277,7
330274,7
330250,8
330052,6
330233,6
330217,8
330198,5
330216,5
330122,6
330013,8
330091,9
330149,6
330019,9
330182,9
330174,7
330023,8
